Cyclone,Date,Time (UTC),Lat.,Long.,C.I. NO.,Estimated Central Pressure (hPa),Estimated Maximum Sustained Surface speed (kt),Estimated Pressure drop at the Centre,Grade
A.82.1,04.11.1982,1200,11.5,66,1.5,999,25,3,D
A.82.1,05.11.1982,0,11.7,65.7,2,997,30,5,DD
A.82.1,05.11.1982,300,12.5,65,2.5,995,35,7,CS
A.82.1,05.11.1982,1200,13,65,2.5,994,40,8,CS
A.82.1,06.11.1982,0,13.5,65.3,3,992,45,10,CS
A.82.1,06.11.1982,300,14,65.5,3.5,986,55,16,SCS
A.82.1,06.11.1982,1200,14.5,66,3.5,982,60,18,SCS
A.82.1,07.11.1982,300,15.5,66.5,3.5,982,60,20,SCS
A.82.1,07.11.1982,1200,16.5,67.5,4,980,65,22,VSCS
A.82.1,08.11.1982,300,18.5,70,4.5,970,80,30,VSCS
A.82.1,08.11.1982,1200,20.5,70.5,5,962,90,40,ESCS
A.82.1,09.11.1982,0,22.5,73,5.1,990,50,12,SCS
A.82.1,09.11.1982,300,23,73.5,5.2,995,35,7,CS
A.82.1,09.11.1982,1200,23.5,75,5.3,999,25,3,D
A.93.1,12.11.1993,300,11.5,69,1.5,1004,25,4,D
A.93.1,12.11.1993,600,12,68.5,1.5,1004,25,4,D
A.93.1,12.11.1993,1200,14,67.5,2,1002,30,6,DD
A.93.1,12.11.1993,1800,14,66.5,2,1002,30,6,DD
A.93.1,13.11.1993,0,15,65.5,2.5,1000,35,8,CS
A.93.1,13.11.1993,300,16,65,3,1000,45,10,CS
A.93.1,13.11.1993,600,16.5,64.5,3,1000,45,10,CS
A.93.1,13.11.1993,1200,17.5,64.5,3,998,45,10,CS
A.93.1,13.11.1993,1800,18.5,64.5,3,1000,45,10,CS
A.93.1,14.11.1993,0,19.5,64.5,3,1000,45,10,CS
A.93.1,14.11.1993,300,20,64.5,3,998,45,10,CS
A.93.1,14.11.1993,600,20,64.5,3.5,992,55,16,SCS
A.93.1,14.11.1993,1200,20.5,64.5,4,986,65,22,VSCS
A.93.1,14.11.1993,1800,21.5,65.5,4,988,65,22,VSCS
A.93.1,15.11.1993,0,22.5,67,3.5,998,55,14,SCS
