Cyclone,date,Time (UTC),Lat.,Long.,C.I. NO.,Estimated Central Pressure (hPa),Estimated Maximum Sustained Surface speed (kt),Estimated Pressure drop at the Centre,Grade
B.82.1,01.05.1982,300,14,82.5,1.5,990,25,3,D
B.82.1,01.05.1982,600,14.5,82.6,2,990,30,5,DD
B.82.1,01.05.1982,1200,15,82.7,2.5,990,35,6,CS
B.82.1,01.05.1982,1800,15.5,82.8,2.5,990,40,8,CS
B.82.1,02.05.1982,0,16,82.9,3,990,45,10,CS
B.82.1,02.05.1982,300,16.5,82.1,3,990,45,10.04265027,CS
B.82.1,02.05.1982,600,16.5,82.11,3.5,990,50,12.39833366,SCS
B.82.1,02.05.1982,1200,16.5,82.12,3.5,990,55,15.00198373,SCS
B.82.1,02.05.1982,1800,17,82.13,3.5,990,55,15.00198373,SCS
B.82.1,03.05.1982,0,17,82.14,3.5,990,60,17.85360048,SCS
B.82.1,03.05.1982,300,17,82.15,4,990,65,20.95318389,VSCS
B.82.1,03.05.1982,600,17.5,82.16,4.5,990,80,31.73973418,VSCS
B.82.1,03.05.1982,1200,17.5,82.17,5,990,90,40.17060107,VSCS
B.82.1,03.05.1982,1800,17.5,82.18,5.5,990,105,54.67665146,VSCS
B.82.1,04.05.1982,0,17.5,82.19,6,990,115,65.58718508,VSCS
B.82.1,04.05.1982,300,17.5,82.2,6,990,115,65.58718508,VSCS
B.82.1,04.05.1982,600,17.5,82.21,6,990,115,65.58718508,VSCS
B.82.1,04.05.1982,1200,17.5,82.22,6,990,115,65.58718508,VSCS
B.82.1,04.05.1982,1800,17.3,82.23,.,990,115,65.58718508,VSCS
B.82.2,05.05.1982,300,17.2,82.24,.,990,30,4.463400119,DD
B.82.2,31.05.1982,1200,14.5,82.25,1.5,990,25,3.099583416,D
B.82.2,31.05.1982,1800,19,82.26,2,988,30,4.463400119,DD
B.82.2,01.06.1982,0,15.5,82.27,2.5,986,35,6.075183495,CS
B.82.2,01.06.1982,300,16,82.28,2.5,984,40,7.934933545,CS
B.82.2,01.06.1982,600,16.5,82.29,2.5,984,40,7.934933545,CS
B.82.2,01.06.1982,1200,16.5,82.3,2.5,984,40,7.934933545,CS
B.82.2,01.06.1982,1800,17,82.31,2.5,984,40,7.934933545,CS
B.82.2,02.06.1982,0,19,82.32,2.5,984,40,7.934933545,CS
B.82.2,02.06.1982,300,17.5,82.33,3,982,45,10.04265027,CS
B.82.2,02.06.1982,600,17.5,82.34,3.5,982,45,10.04265027,CS
B.82.2,02.06.1982,1200,18,82.35,3,982,45,10.04265027,SCS
B.82.2,02.06.1982,1800,18.5,82.36,3,979,50,13,SCS
B.82.2,03.06.1982,0,19,82.37,3.5,976,55,16,SCS
B.82.2,03.06.1982,300,19,82.38,4,972,65,22,VSCS
B.82.2,03.06.1982,600,19.5,82.39,4.5,960,80,31.73973418,VSCS
B.82.2,03.06.1982,900,19.5,82.4,5,952,90,40.17060107,VSCS
B.82.2,03.06.1982,1200,20,82.41,5,952,90,40,VSCS
B.82.2,03.06.1982,1800,21,82.42,5,952,90,40.17060107,VSCS
B.82.2,04.06.1982,0,21.5,82.43,4,970,65,22,VSCS
B.82.2,04.06.1982,300,22,82.44,3,982,45,10,CS
B.82.2,04.06.1982,600,22.5,82.45,2.5,986,35,6,CS
B.82.2,04.06.1982,1200,23,82.46,2,988,30,4.463400119,DD
B.82.2,04.06.1982,1800,24,82.47,2,988,30,4.463400119,DD
B.82.2,05.06.1982,0,24.5,82.48,1.5,990,25,3,D
B.82.2,05.06.1982,300,25,82.49,1.5,991,20,3,D
B.84.1,13.10.1984,0,19,88,1.5,972,25,3,D
B.84.1,13.10.1984,300,19.5,87.5,1.5,960,25,3,D
B.84.1,13.10.1984,1200,20.5,87.5,4,952,65,21,SCS
B.84.1,14.10.1984,300,20.7,86.8,.,952,55,15,SCS
B.84.1,14.10.1984,1200,21.5,86,.,952,35,8,CS
B.84.1,15.10.1984,300,22.5,85,1.5,970,25,4,D
B.84.1,15.10.1984,1200,23.5,84.5,.,982,20,3,D
B.84.1,09.11.1984,1200,9.5,87.5,1.5,986,25,3,D
B.84.1,10.11.1984,300,9.5,87.5,2,988,30,5,DD
B.84.1,10.11.1984,1200,10,86,2,988,30,5,DD
B.84.1,10.11.1984,1800,10,84,2,990,30,5,DD
B.84.1,11.11.1984,300,10.5,82.5,2,991,30,5,DD
B.84.1,11.11.1984,600,10.8,82,2.5,992,35,6,DD
B.84.1,11.11.1984,1200,11,81.5,2.5,993,40,8,CS
B.84.1,12.11.1984,300,12,80.5,3.5,994,55,15,SCS
B.84.1,12.11.1984,1200,12.5,80.5,5,995,90,40,SCS
B.84.1,13.11.1984,300,13.5,80.5,5,996,90,40,SCS
B.84.1,13.11.1984,1200,13.5,80.3,5.5,997,102,52,SCS
B.84.1,13.11.1984,1800,13.5,80,6,998,115,66,SCS
B.84.1,14.11.1984,300,13.5,80,6,999,115,66,SCS
B.84.2,27.11.1984,1200,8.5,85.5,1.5,990,25,3,D
B.84.2,28.11.1984,300,9,85,1.5,988,25,3,D
B.84.2,28.11.1984,1200,9.5,84.5,2,986,30,4,DD
B.84.2,28.11.1984,1500,9.5,84.5,2.5,984,35,6,DD
B.84.2,29.11.1984,900,9.5,84.5,3,984,45,10,CS
B.84.2,30.11.1984,0,9.5,84.5,3.5,984,55,15,CS
B.84.2,30.11.1984,300,9.5,84.5,6,984,115,66,SCS
B.84.2,01.12.1984,300,10.8,80.5,6,984,115,66,SCS
B.84.2,01.12.1984,1200,11,79,3.5,982,55,15,CS
B.84.2,01.12.1984,1800,11.5,77.5,2,982,30,4,DD
B.84.2,02.12.1984,300,11.5,74,1.5,982,25,3,D
B.87.1,30.01.1987,300,5.5,88.5,1.5,999,25,3,D
B.87.1,30.01.1987,1200,6,88.5,1.5,998,25,4,D
B.87.1,31.01.1987,0,6.5,87.5,2,996,30,5,DD
B.87.1,31.01.1987,300,7,87,2,994,30,6,DD
B.87.1,31.01.1987,600,7,86.5,2.5,992,35,8,CS
B.87.1,31.01.1987,1200,7.5,86,3,988,45,12,CS
B.87.1,01.02.1987,0,8,85.5,3.5,986,50,14,SCS
B.87.1,01.02.1987,300,8,85.5,3.5,984,55,16,SCS
B.87.1,01.02.1987,600,8.5,85.5,4,978,65,22,VSCS
B.87.1,01.02.1987,1200,10,86,4,974,70,30,VSCS
B.87.1,02.02.1987,0,12.5,87,4,970,75,30,VSCS
B.87.1,02.02.1987,3000,13,87.5,4,970,75,30,VSCS
B.87.1,02.02.1987,600,13.5,88,4,970,75,30,VSCS
B.87.1,02.02.1987,1200,14.5,88.5,4,974,70,26,VSCS
B.87.1,02.02.1987,1800,15,89,3.5,980,60,20,SCS
B.87.1,03.02.1987,0,15.5,89.5,3,986,50,14,SCS
B.87.1,03.02.1987,300,16,89.5,2.5,992,40,8,CS
B.87.1,03.02.1987,1200,17,90,2,994,30,6,DD
B.87.1,04.02.1987,0,19,90.5,2,996,30,5,DD
B.87.1,04.02.1987,300,19.5,91,1.5,997,25,4,D
B.87.1,04.02.1987,600,20,91,1.5,998,25,3,D
B.87.1,04.02.1987,1200,21,91,1.5,998,25,3,D
B.87.2,31.10.1987,300,11.5,86.5,1.5,997,25,3,D
B.87.2,31.10.1987,600,12,86,2,995,30,5,DD
B.87.2,31.10.1987,1200,12.5,85.5,2.5,993,35,7,CS
B.87.2,31.10.1987,1800,13,85.5,2.5,993,35,7,CS
B.87.2,01.11.1987,0,13.5,85,2.5,992,40,8,CS
B.87.2,01.11.1987,300,13.5,85,2.5,990,40,10,CS
B.87.2,01.11.1987,1200,13.5,84,3,988,45,12,CS
B.87.2,01.11.1987,1800,13.5,83.5,3.5,988,45,12,CS
