Date, Average Sea Surface Temperature
15-01-1993,-0.177994579
15-02-1993,-0.176136389
15-03-1993,-0.131704032
15-04-1993,-0.124919079
15-05-1993,-0.115371488
15-06-1993,-0.135702536
15-07-1993,-0.173688114
15-08-1993,-0.184075162
15-09-1993,-0.247808635
15-10-1993,-0.246437669
15-11-1993,-0.205625221
15-12-1993,-0.204053357
15-01-1994,-0.15266268
15-02-1994,-0.208148971
15-03-1994,-0.170308068
15-04-1994,-0.196698487
15-05-1994,-0.184657618
15-06-1994,-0.207217783
15-07-1994,-0.184948355
15-08-1994,-0.203570336
15-09-1994,-0.117515318
15-10-1994,-0.061835941
15-11-1994,-0.096743859
15-12-1994,-0.08150769
15-01-1995,-0.083017565
15-02-1995,-0.072632149
15-03-1995,-0.069396906
15-04-1995,-0.084216982
15-05-1995,-0.075437382
15-06-1995,-0.104975916
15-07-1995,-0.084113739
15-08-1995,-0.117981933
15-09-1995,-0.145665556
15-10-1995,-0.131838083
15-11-1995,-0.133546859
15-12-1995,-0.115101703
15-01-1996,-0.088631183
15-02-1996,-0.117345132
15-03-1996,-0.159648597
15-04-1996,-0.194813684
15-05-1996,-0.152435407
15-06-1996,-0.138874069
15-07-1996,-0.141018182
15-08-1996,-0.163911507
15-09-1996,-0.176700085
15-10-1996,-0.189265564
15-11-1996,-0.172062159
15-12-1996,-0.147396281
15-01-1997,-0.12429101
15-02-1997,-0.124795273
15-03-1997,-0.098769337
15-04-1997,-0.058878899
15-05-1997,-0.011654272
15-06-1997,0.028318178
15-07-1997,0.040968366
15-08-1997,0.026268778
15-09-1997,0.058109947
15-10-1997,0.096566103
15-11-1997,0.146569297
15-12-1997,0.194208533
15-01-1998,0.173396498
15-02-1998,0.161761954
15-03-1998,0.143984765
15-04-1998,0.114341944
15-05-1998,0.123751149
15-06-1998,0.095155559
15-07-1998,0.087862901
15-08-1998,0.039573457
15-09-1998,-0.012982759
15-10-1998,0.003815039
15-11-1998,0.013786775
15-12-1998,-0.054238468
15-01-1999,-0.076980241
15-02-1999,-0.076640092
15-03-1999,-0.070036463
15-04-1999,-0.10917592
15-05-1999,-0.11104326
15-06-1999,-0.109136887
15-07-1999,-0.137617156
15-08-1999,-0.143856183
15-09-1999,-0.166114673
15-10-1999,-0.159531876
15-11-1999,-0.136068389
15-12-1999,-0.145355225
15-01-2000,-0.094141454
15-02-2000,-0.09781909
15-03-2000,-0.122120999
15-04-2000,-0.051731601
15-05-2000,-0.059996828
15-06-2000,-0.079076953
15-07-2000,-0.061165672
15-08-2000,-0.045956805
15-09-2000,-0.043947555
15-10-2000,-0.053969674
15-11-2000,-0.055056464
15-12-2000,-0.064412288
15-01-2001,-0.019026255
15-02-2001,-0.02946052
15-03-2001,0.0347379
15-04-2001,-0.022771697
15-05-2001,-0.011833528
15-06-2001,0.030025572
15-07-2001,0.030803787
15-08-2001,-0.027738946
15-09-2001,0.010437772
15-10-2001,0.013278339
15-11-2001,0.022994589
15-12-2001,0.027418002
15-01-2002,0.07393536
15-02-2002,0.085986286
15-03-2002,0.075283065
15-04-2002,0.054868218
15-05-2002,0.0521359
15-06-2002,0.060504418
15-07-2002,-0.036578834
15-08-2002,-0.042159583
15-09-2002,-0.018441221
15-10-2002,0.0398257
15-11-2002,0.023144513
15-12-2002,0.048303694
15-01-2003,0.054669082
15-02-2003,0.07375174
15-03-2003,0.097955696
15-04-2003,0.06643378
15-05-2003,0.016790228
15-06-2003,0.050511185
15-07-2003,0.069923416
15-08-2003,0.09064506
15-09-2003,0.099237397
15-10-2003,0.109136589
15-11-2003,0.08620286
15-12-2003,0.081269868
15-01-2004,0.090716973
15-02-2004,0.096811429
15-03-2004,0.021156274
15-04-2004,0.047002438
15-05-2004,-0.015499508
15-06-2004,-0.031103702
15-07-2004,0.008832451
15-08-2004,0.037119742
15-09-2004,0.056735601
15-10-2004,0.060084507
15-11-2004,0.100181051
15-12-2004,0.106259622
15-01-2005,0.116189413
15-02-2005,0.093305543
15-03-2005,0.114447623
15-04-2005,0.066914342
15-05-2005,0.077925652
15-06-2005,0.057886723
15-07-2005,0.059493829
15-08-2005,0.061714116
15-09-2005,0.041005537
15-10-2005,0.040162563
15-11-2005,0.010308021
15-12-2005,0.015577206
15-01-2006,0.030977078
15-02-2006,0.043169759
15-03-2006,0.007352382
15-04-2006,0.024682833
15-05-2006,0.041229762
15-06-2006,0.023390166
15-07-2006,-0.007865527
15-08-2006,0.023199206
15-09-2006,0.054463666
15-10-2006,0.034339208
15-11-2006,0.070475183
15-12-2006,0.08027564
15-01-2007,0.06376192
15-02-2007,0.067017913
15-03-2007,0.003528018
15-04-2007,0.013004789
15-05-2007,-0.027008751
15-06-2007,-0.002015079
15-07-2007,-0.02808713
15-08-2007,-0.059919685
15-09-2007,-0.063409619
15-10-2007,-0.092884898
15-11-2007,-0.149855331
15-12-2007,-0.185595289
15-01-2008,-0.150908515
15-02-2008,-0.128985882
15-03-2008,-0.091794766
15-04-2008,-0.074770659
15-05-2008,-0.080317378
15-06-2008,-0.069628671
15-07-2008,-0.014656701
15-08-2008,-0.001243545
15-09-2008,0.020983579
15-10-2008,0.006452729
15-11-2008,-0.033017687
15-12-2008,-0.01951992
15-01-2009,0.004473287
15-02-2009,-0.012555302
15-03-2009,0.010350618
15-04-2009,0.037499949
15-05-2009,0.072123334
15-06-2009,0.147027239
15-07-2009,0.112117097
15-08-2009,0.110797592
15-09-2009,0.07881169
15-10-2009,0.117179103
15-11-2009,0.121465735
15-12-2009,0.183051184
15-01-2010,0.205619723
15-02-2010,0.203157321
15-03-2010,0.186428919
15-04-2010,0.189566284
15-05-2010,0.14289242
15-06-2010,0.11894016
15-07-2010,0.090127595
15-08-2010,0.090223685
15-09-2010,0.066428125
15-10-2010,-0.001228975
15-11-2010,-0.019544723
15-12-2010,-0.018647868
15-01-2011,-0.008479668
15-02-2011,0.020262072
15-03-2011,0.03061446
15-04-2011,0.035232436
15-05-2011,0.029261695
15-06-2011,0.017307367
15-07-2011,0.017082056
15-08-2011,0.023675708
15-09-2011,-0.006903845
15-10-2011,-0.013112022
15-11-2011,-0.023277594
15-12-2011,-0.078449294
15-01-2012,-0.039371356
15-02-2012,-0.001922809
15-03-2012,-0.021116314
15-04-2012,0.018837875
15-05-2012,0.04636177
15-06-2012,0.037971649
15-07-2012,0.087411024
15-08-2012,0.13110663
15-09-2012,0.131678268
15-10-2012,0.126344636
15-11-2012,0.141118199
15-12-2012,0.125892147
15-01-2013,0.080811031
15-02-2013,0.098067388
15-03-2013,0.096591458
15-04-2013,0.096100703
15-05-2013,0.060479917
15-06-2013,0.027671924
15-07-2013,0.100936845
15-08-2013,0.134416059
15-09-2013,0.138743386
15-10-2013,0.100767814
15-11-2013,0.117694765
15-12-2013,0.094663434
15-01-2014,0.120955274
15-02-2014,0.103151008
15-03-2014,0.112465382
15-04-2014,0.153492406
15-05-2014,0.182305276
15-06-2014,0.183023125
15-07-2014,0.164181501
15-08-2014,0.221675128
15-09-2014,0.24285537
15-10-2014,0.202153668
15-11-2014,0.170859501
15-12-2014,0.157359943
15-01-2015,0.141573161
15-02-2015,0.139274597
15-03-2015,0.16082488
15-04-2015,0.219623655
15-05-2015,0.219820544
15-06-2015,0.220291898
15-07-2015,0.237158194
15-08-2015,0.291327894
15-09-2015,0.344603628
15-10-2015,0.346942633
15-11-2015,0.377683997
15-12-2015,0.399382204
15-01-2016,0.428452045
15-02-2016,0.331505477
15-03-2016,0.369805187
15-04-2016,0.351049751
15-05-2016,0.313046962
15-06-2016,0.329866379
15-07-2016,0.320038319
15-08-2016,0.301379472
15-09-2016,0.293283314
15-10-2016,0.268065095
15-11-2016,0.226149157
15-12-2016,0.24081336
15-01-2017,0.303804129
15-02-2017,0.324490905
15-03-2017,0.317477763
15-04-2017,0.309551865
15-05-2017,0.242850512
15-06-2017,0.247408435
15-07-2017,0.288067669
15-08-2017,0.272296369
15-09-2017,0.232532158
15-10-2017,0.186097234
15-11-2017,0.176494822
15-12-2017,0.123583429
15-01-2018,0.152683124
15-02-2018,0.139884606
15-03-2018,0.167922899
15-04-2018,0.199110702
15-05-2018,0.213464215
15-06-2018,0.16696848
15-07-2018,0.126541764
15-08-2018,0.122048244
15-09-2018,0.190100253
15-10-2018,0.233227149
15-11-2018,0.248194009
15-12-2018,0.24516274
15-01-2019,0.283622682
15-02-2019,0.321319073
15-03-2019,0.332914561
15-04-2019,0.343503714
15-05-2019,0.350209147
15-06-2019,0.378007621
15-07-2019,0.374416798
15-08-2019,0.357030183
15-09-2019,0.306292862
15-10-2019,0.354413599
15-11-2019,0.33843109
15-12-2019,0.347822279
15-01-2020,0.36957854
15-02-2020,0.337008923
15-03-2020,0.401155084
15-04-2020,0.412994981
15-05-2020,0.340626299
15-06-2020,0.348227888
15-07-2020,0.333675474
15-08-2020,0.33374083
15-09-2020,0.293975055
15-10-2020,0.252307594
15-11-2020,0.204435527
15-12-2020,0.144613475
15-01-2021,0.155521378
15-02-2021,0.131251052
15-03-2021,0.186691344
15-04-2021,0.21089676
15-05-2021,0.213470727
15-06-2021,0.233973786
15-07-2021,0.240638033
15-08-2021,0.217956737
15-09-2021,0.21108678
15-10-2021,0.233331829
15-11-2021,0.254931897
15-12-2021,0.213522226
